PAYER NAME,PAYER ID
CareCore/WCNY RAD,14188
CareFirst BCBS Community Health Plan Maryland,45281
CareFirst BCBS Community Health Plan Maryland,45281
CareFirst BCBS of Maryland,SB690
CareFirst BCBS of Maryland,SB690
CareFirst BCBS of Maryland,SB690
Careington Benefit Solutions,60601
Carelon Behavioral Health,BHOVO
Carelon Behavioral Health,BHOVO
Carelon Behavioral Health,BHOVO
Carelon Behavioral Health,CARELON
Carelon Behavioral Health (Medical Benefits),CARELON-MB
Carelon Health – Palliative Care,CARMO
Carelon Health – Palliative Care,CARMO
Carelon Health – Palliative Care,CARMO
Carelon Health IPA of California,BHOVO
Carelon Health IPA of California,BHOVO
"Caremark WPAS, Inc., Grp# P62",91136
"Caremark WPAS, Inc., Grp# P62",91136
CAREMORE,CARE
CareMore Encounters,CMENC
CareMore Encounters,CMENC
CareMore Value Plus (CVP),CARMO
CareMore Value Plus (CVP),CARMO
CareMore Value Plus (CVP),CARMO
CareOregon Inc.,93975
CareOregon Inc.,93975
CareOregon Inc.,93975
CarePartners,22248
CarePartners,22248
CarePartners,22248
CarePartners of Connecticut,16307
CarePartners of Connecticut,16307
CarePartners of Connecticut,16307
CarePartners of Connecticut,CAREPARTNERS-CT
Careplus (Encounters),95093
CarePlus Health Plan,00324
CarePlus Health Plan,00324
Careplus Health Plan,95092
Careplus Health Plan,95092
Careplus Health Plan,95092
Caresource (FHM),CARESOURCE-FHM
CareSource Arkansas,ARCS1
CareSource Arkansas,ARCS1
CareSource Arkansas,ARCS1
CareSource Arkansas,CARESOURCE-AR
CareSource Arkansas,CARESOURCE-AR
Caresource Health Plan of Oregon,MRCHP
CareSource North Carolina,CARESOURCE-NC
CareSource North Carolina,CARESOURCE-NC
CareSource North Carolina,NCCS1
CareSource North Carolina,NCCS1
CareSource of Georgia,CARESOURCE-GA
CareSource of Georgia,GACS1
CareSource of Georgia,GACS1
CareSource of Georgia,GACS1
Caresource of Indiana,CARESOURCE-IN
Caresource of Indiana,CARESOURCE-IN
Caresource of Indiana,INCS1
Caresource of Indiana,INCS1
Caresource of Indiana,INCS1
Caresource of Kentucky,KYCS1
Caresource of Kentucky,KYCS1
Caresource of Kentucky,KYCS1
Caresource of Kentucky,KYCS1
Caresource of Michigan Medicaid,CARESOURCE-MI
Caresource of Michigan Medicaid,CARESOURCE-MI 
Caresource of Michigan Medicaid,MIMCS
Caresource of Michigan Medicaid,MIMCS
Caresource of Michigan Medicaid,MIMCS
CareSource of Ohio,31114
CareSource of Ohio,31114
CareSource of Ohio,31114
CareSource of Ohio,CARESOURCE-OH
Caresource of Ohio,CARESOURCE-OH
CareSource Ohio Medicaid,31500
CareSource Ohio Medicaid,31500
CareSource Ohio Medicaid,31500
CareSource Ohio Medicaid,CARESOURCE-OHMCD
Caresource West Virginia,CARESOURCE-WV
Caresource West Virginia,CARESOURCE-WV
Caresource West Virginia,WVCS1
Caresource West Virginia,WVCS1
Carewest,J2258
CareWorks,J1866
Carisk Behavioral Health,33632
Carisk Behavioral Health,33632
Cariten Healthcare,61101
Cariten Healthcare,61101
Cariten Healthcare,61101
Cariten Healthcare,CARITEN-HLTH
Cariten Senior Health,61101
Cariten Senior Health,61101
Cariten Senior Health,61101
Carolina Behavioral Health Alliance,56215
Carolina Behavioral Health Alliance,56215
Carolina Care Plan Inc.,29076
Carolina Care Plan Inc.,29076
Carolina Complete (Centene),68069
Carolina Complete (Centene),68069
Carolina Complete (Centene),68069
Carolina Complete (Centene),CAROLINA-COMPLETE
Carolina Complete (Centene),CAROLINA-COMPLETE
Carolina SeniorCare,71499
Carolina SeniorCare,71499
Carpenters Health & Welfare (FCHN),91131
Carpenters Health & Welfare (FCHN),91131
Carpenters Health & Welfare Fund of Philadelphia & Vicinity,CX101
Carpenters Trust of Western Washington,60054
Carpenters Trust of Western Washington,60054
Carpenters Trust of Western Washington,60054
Carpenters Trust of Western Washington,60054
Caryn Health,53684
Caryn Health,53684
CAS Coastal Administrative Services,CAS89
CAS Coastal Administrative Services,CAS89
CAS Coastal Administrative Services,CAS89
CAS Coastal Administrative Services,CAS89
"Cascade Health Alliance, Inc",CHA01
"Cascade Health Alliance, Inc",CHA01
CASD/Sanford  (Chiropractic Associates of SD),CASD2
Casitas Municipal Water District (CA) - CORVEL,J1630
Castlepoint Insurance Company,J3963
Castlepoint National Insurance Company,J3964
Catholic Life Insurance,CATHOLIC-LIFE
Catholic Mutual,41556
Catholic United Financial,CATHOLIC-UNITED
CBA BLUE,03036
CBA BLUE,03036
CBA BLUE,03036
CBA BLUE,03036
CBHNP - HealthChoices,65391
CBHNP - HealthChoices,65391
CBHNP - HealthChoices,65391
"CC-Development Group, Inc. - CORVEL",J1900
CCMSI,J1010
CDO Technologies,83028
CDO Technologies,83028
CDS Group Health,CDS-GROUP
Cedar Valley Community HealthCare (CVCH),42558
Cedar Valley Community HealthCare (CVCH),42558
Cedar Valley Community HealthCare (CVCH),42558
"Cedars Towers Surgical Medical Group  (Encounters Only, Payer ID Required)",HPIPA
Cedars-Sinai Medical Group (CSHS) - Capitated/Encounters,95167
Cedars-Sinai Medical Group (CSHS) - Capitated/Encounters,95167
Cedars-Sinai Medical Group (CSHS) - Fee for Service,95166
Cedars-Sinai Medical Group (CSHS) - Fee for Service,95166
Cedars-Sinai Medical Group (CSHS) - Fee for Service,95166
Celtic Insurance,68063
Celtic Insurance,68063
Celtic Insurance,CELTIC-INS
CeltiCare Health Plan (Centene),68069
CeltiCare Health Plan (Centene),68069
CeltiCare Health Plan (Centene),68069
Celticare Health Plan (Centene),CELTICARE
Celticare Health Plan (Centene),CELTICARE
Cement Masons & Plasterers Health & Welfare Trust Group #F16,91136
Cement Masons & Plasterers Health & Welfare Trust Group #F16,91136
CenCal Health,95386
CenCal Health,95386
CenCal Health,95386
"CenCal Health	",CENCAL
Cendant Corporation ,J1034
Cenpatico Behavioral Health,68068
Cenpatico Behavioral Health,68068
Cenpatico Behavioral Health,68068
Cenpatico Behavioral Health,CENPATICO-BH
Centene Medicare,CENTENE-MEDICARE
Centene Medicare,CENTENE-MEDICARE
Center for Elders Independence (CEI),94312
Center for Elders Independence (CEI),94312
Center IPA,POP01
CenterLight Healthcare,13360
CenterLight Healthcare,13360
Centers Plan for Healthy Living,CPHL1
Centers Plan for Healthy Living,CPHL1
Centers Plan for Healthy Living,CPHL1
Centinela Valley IPA,MPM03
Centinela Valley IPA,MPM03
Centinela Valley IPA Encounters,UC002
Centinela Valley IPA Encounters,UC002
Centivo,45564
Centivo,45564
Centivo,CENTIVO
Central Alliance Physicians - Guidant,CAP01
Central Alliance Physicians - Guidant,CAP01
Central Benefits,CENTRAL-BENE
Central Benefits Life,31118
Central Benefits Life,31118
Central Benefits Mutual,31118
Central Benefits Mutual,31118
Central Benefits National,31118
Central Benefits National,31118
Central CA Phys Partners Astrana,NMM10
Central CA Phys Partners Astrana,NMM10
Central CA Phys Partners Astrana,NMM10
Central California Alliance for Health,10884
Central California Alliance for Health (CCAH),CCA01
Central California Alliance for Health (CCAH),CCA01
Central California Alliance for Health (CCAH),CCA01
Central California Alliance for Health ECM/CS,CCA10
Central California Alliance for Health ECM/CS,CCA10
Central California Alliance for Health ECM/CS,CCA10
Central California Physician Partners,MVCV1
Central California Physician Partners,MVCV1
Central California Physician Partners (Encounters),MVCV2
Central California Physician Partners (Encounters),MVCV2
Central Coast Alliance Health,CPP01
Central Contra Costa Transit Authority - CORVEL,J1605
Central Florida Health,J3909
Central Garden & Pet Company - CORVEL,J3737
Central Health Medicare Plan,CHCPI
Central Health Medicare Plan,CHCPI
Central Health MSO,CHCPI
Central Health MSO,CHCPI
Central Hockey League ,J1035
Central Pennsylvania Teamsters Fund,CENTRAL-PENN-TF
Central Reserve Life,34097
Central Reserve Life,34097
Central States Funds,CENTRAL-STATES
Central States Health & Life,CENTRAL-STATES-HL
Central States Health & Life Co of Omaha Medicare Supplement,96478
Central States Health & Life of Omaha,CSOMAHA
Central States Health & Welfare Funds,36215
Central States Indemnity Medicare Supplement,95701
Central Valley Medical Group,CVH01
Central Valley Medical Group,CVH01
Central Valley Medical Group,SC027
Central Valley Medical Group,SC027
Central Valley Medical Providers CVMEDPRO,MPM59
Central Valley Medical Providers CVMEDPRO,MPM59
Centurion,42140
Centurion,42140
Centurion,42140
Centurion LLC,IHS11
Centurion LLC,IHS11
Centurypho,36393
Centurypho,36393
CGS Health,CGS
Chaffey Joint Union H. S. District (CA) - CORVEL,J1646
Chaffey Medical Group,49533
Chaffey Medical Group,49533
Chaffey Medical Group,49533
Champion Payer Solutions,CPS01
Champion Payer Solutions,CPS01
Champion Payer Solutions,CPS01
CHAMPVA,84146
CHAMPVA - HAC,84146
CHAMPVA - HAC,84146
CHAMPVA - HAC,84146
CHAMPVA/Spina Bifida/Children of Women Vietnam Vets,CHAMPVA-SBCVV
"Charming Shoppes, Inc. ",J1036
CHC Texas,00504
CHC Texas,00504
"CHCS Services, Inc.",CHCS
Cherokee Insurance,J1970
Chesapeake Life Insurance Co.,60601
"Chesterfield Services, Inc.",J1479
Chesterfield Technologies,34154
Chesterfield Technologies,34154
Chicago Transit Authority - CORVEL,J2555
Childhealth Plus by Healthfirst (CHP),80141
Childhealth Plus by Healthfirst (CHP),80141
Childhealth Plus by Healthfirst (CHP),80141
Children First Medical Group,94321
Children of Women Vietnam Veterans - VA HAC,84146
Children of Women Vietnam Veterans - VA HAC,84146
Children of Women Vietnam Veterans - VA HAC,84146
Children’s Hospital Orange County (CHOC) Health Alliance,CHOC1
Children’s Hospital Orange County (CHOC) Health Alliance,CHOC1
Children’s Hospital Orange County (CHOC) Health Alliance,CHOC1
Children's Medical Alliance,CMA01
Children's Medical Alliance,CMA01
Children's Mercy PCN,CH-MERCY
Children's Physicians Medical Group (CPMG),RCHN1
Children's Physicians Medical Group (CPMG),RCHN1
Children's Physicians Medical Group (CPMG),RCHN1
Children's Specialists of San Diego II,CSSD2
Children's Specialists of San Diego II,CSSD2
Chinese Community Health Plan,94302
Chinese Community Health Plan,94302
Chinese Community Health Plan,94302
Chireno ISD,J3874
ChiroCare,LNDMK
ChiroCare,LNDMK
Chiropractic Care of Minnesota,LNDMK
CHOC Health Alliance,CHOC1
CHOC Health Alliance,CHOC1
CHOC Health Alliance,CHOC1
Choice Medical Group,CMG01
Choice Medical Group,CMG01
Choice Medical Group,CMG01
Choice Physicians Net CoachellaMed ,CPNCO
Choice Physicians Net CoachellaMed ,CPNCO
Choice Physicians Net CoachellaMed ,CPNCO
Choice Physicians Network,CPN01
Choice Physicians Network,CPN01
Choice Physicians Network,CPN01
Choice Physicians Network - Amada Health,CPNA1 
Choice Physicians Network - Amada Health,CPNA1 
Choice Physicians Network - Live Well,CPNLW
Choice Physicians Network - Live Well,CPNLW
Choice Physicians Network - Live Well,CPNLW
Choice Physicians Network - MD Senior Care,CPNMS
Choice Physicians Network - MD Senior Care,CPNMS
Choice Physicians Network - MD Senior Care,CPNMS
Choice Physicians Network Advent Health Medical Corporation,CPNAH
Choice Physicians Network Advent Health Medical Corporation,CPNAH
Choice Physicians Network All United Medical Group,CPNAU
Choice Physicians Network All United Medical Group,CPNAU
Choice Physicians Network All United Medical Group,CPNAU
Choice Physicians Network Amada Health Alameda,CPNA3
Choice Physicians Network Amada Health Alameda,CPNA3
Choice Physicians Network Amada Health Alameda,CPNA3
Choice Physicians Network Horizon Valley Medical Group,CPNHV
Choice Physicians Network Horizon Valley Medical Group,CPNHV
Choice Physicians Network Nivano Physicians,CPNNP
Choice Physicians Network Nivano Physicians,CPNNP
Choice Physicians Network Nivano Physicians,CPNNP
CHORUS Community Health Plan (CCHP),251CC
CHORUS Community Health Plan (CCHP),251CC
CHP Direct,CHP-DIRECT
Christian Brothers Services,38308
Christian Brothers Services,38308
Christian Brothers Services,38308
Christian Brothers Services,38308
Christian Brothers Services,CHRISTIAN-BROS
Christian Care Ministries (MediShare),59355
Christian Care Ministries (MediShare),59355
Christian Care Ministries (MediShare),CHRISTIAN-CARE
Christian Health Aid,98628
Christian Health Aid,98628
Christiana Care VBR,VB002
Christiana Care VBR,VB002
Christus Health - USFHP,90551
Christus Health - USFHP,90551
Christus Health - USFHP,90551
Christus Health Medicare Advantage,10629
Christus Health Medicare Advantage,10629
Christus Health Medicare Advantage,10629
Christus Health Medicare Advantage,CHRISTUS-MA
Christus Health Plan,45210
Christus Health Plan,45210
Christus Health Plan,CHRISTUS-HP
CHRISTUS Health Plan Texas HIX,52106
CHRISTUS Health Plan Texas HIX,52106
CHRISTUS Health Plan Texas HIX,CHRISTUS-TX-HIX
​Chubb (legacy Chubb & Son) - Auto,C1052
​Chubb (legacy Chubb & Son) - WC,J1554
Chubb Services,J1561
Church Mutual Insurance Company,J1725
Church Mutual Insurance Company (Auto),J1264
CIGNA,62308
CIGNA,62308
CIGNA,62308
CIGNA,62308
CIGNA - PPO,62308
CIGNA - PPO,62308
CIGNA - PPO,62308
CIGNA - PPO,62308
CIGNA For Seniors,62308
CIGNA For Seniors,62308
CIGNA For Seniors,62308
CIGNA For Seniors,62308
CIGNA Health Plan,62308
CIGNA Health Plan,62308
CIGNA Health Plan,62308
CIGNA Health Plan,62308
CIGNA HealthCare,62308
CIGNA HealthCare,62308
CIGNA HealthCare,62308
CIGNA HealthCare,62308
CIGNA Healthcare,62308
CIGNA Healthcare,62308      
CIGNA Healthcare for Seniors (Medicare),62308
CIGNA Healthcare for Seniors (Medicare),62308
CIGNA Healthcare for Seniors (Medicare),62308
CIGNA Healthcare for Seniors (Medicare),62308
Cigna HealthSpring,63092
Cigna HealthSpring,63092
Cigna HealthSpring,63092
Cigna HealthSpring,HEALTHSPRING
Cigna Healthspring,HEALTHSPRING
CIGNA PPA,62308
CIGNA PPA,62308
CIGNA PPA,62308
CIGNA PPA,62308
CIGNA Premier Plus,62308
CIGNA Premier Plus,62308
CIGNA Premier Plus,62308
CIGNA Premier Plus,62308
CIGNA Private,62308
CIGNA Private,62308
CIGNA Private,62308
CIGNA Private,62308
CIM Insurance Corporation,C1028
Cincinnati Insurance,J1562
Citizens Choice Health Plan (Fee For Service),CCHPC
Citizens Choice Health Plan (Fee For Service),CCHPC
Citizens Choice Health Plan (Fee For Service),CCHPC
Citizens Insurance Company of America,J1582
Citizens of Humanity - CORVEL,J3759
Citizens Security Life Insurance Company,CSLIC
Citrus Memorial Health Foundation Inc.,J3908
Citrus Valley Health Partners,J1613
Citrus Valley IPA,NMM01
Citrus Valley IPA,NMM01
Citrus Valley IPA,NMM01
Citrus Valley Physicians Group (CVPG),PDT01
Citrus Valley Physicians Group (CVPG),PDT01
Citrus Valley Physicians Group (CVPG),PDT01
"Citrus World, Inc.",J1945
City of Adelanto,J3867
City of Amarillo Group Health Plan,60054
City of Amarillo Group Health Plan,60054
City of Amarillo Group Health Plan,60054
City of Amarillo Group Health Plan,60054
City Of Arlington,A0033
City of Austin,74234
City of Banning (CA) - CORVEL,J1792
City of Baytown - CORVEL,J3955
City of Beverly Hills - CORVEL,J2104
City of Blythe (CA) - CORVEL,J1794
City of Desert Hot Springs (CA),J1799
City of El Paso,A0046
City of Fort Worth (TX),J1680
City of Fountain Valley (CA) - CORVEL,J1632
City of Gardena (CA) - CORVEL,J1634
City of Glendale (AZ),J1800
City of La Mesa 11 (CA) - CORVEL,J1711
City of Laguna Hills (CA) - CORVEL,J1653
City Of Lake Charles (La) - CORVEL,J1981
City of Miami Beach (FL),J1946
City of Milwaukee (WI) - CORVEL,J3756
City of Minneapolis,J1269
City of Norfolk (VA) - CORVEL,J3899
City of Ocoee,J3910
City of Omaha (NE) - CORVEL,J1721
City of Perris (CA) - CORVEL,J1795
City of Pompano Beach (FL),J1947
City of Raleigh - CORVEL,J2391
City of Redding (CA),J1617
"City of Rialto, CA - CORVEL",J1901
City of San Diego,J1497
City of San Jacinto (CA) - CORVEL,J1796
City of St. Paul (MN),J1602
City of Stanton (CA) - CORVEL,J1636
City of Topeka (KS) - CORVEL,J1607
City of Torrance,J3872
City of Venice,J3911
City of Virginia Beach (VA) - CORVEL,J3861
City of West Palm Beach (FL),J1948
Clackamas County Mental Health,CCMMH
Clackamas MHO General Fund,CMHGF
Claimchoice Administrators (formerly AmeraPlan),38219
Claimchoice Administrators (formerly AmeraPlan),38219
Claimchoice Administrators (formerly AmeraPlan),38219
Claims Administrative Services (CAS),J1271
Claims Choice Administrators LLC,83063
Claims Choice Administrators LLC,83063
Claims Development Corporation,43056
Claims Management Service Incorporated,CMSI
ClaimsBridge Custom Provider Network,11752
ClaimsBridge Custom Provider Network,11752
"Claimsware, Inc. DBA ManageMed",57080
"Claimsware, Inc. DBA ManageMed",57080
"Claimsware, Inc. DBA ManageMed",57080
Classic Residence By Hyatt ,J1037
Clear Health Alliance,CLEAR
Clear Health Alliance,CLEAR
Clear One Health Plans,93029
Clear One Health Plans,93029
Clear One Health Plans,93029
Clear Spring Health,85468
Clear Spring Health,85468
Clear Spring Health,85468
Clear Spring Health,CLEAR-SPRING
Clever Care Health Plan,CC168
Clever Care Health Plan,CC168
Clever Care Health Plan Encounters,CC16E
Clever Care Health Plan Encounters,CC16E
Clever Care Health Plan Encounters,CC16E
Clinica Medica San Miguel,PROSP
Clinica Medica San Miguel,PROSP
Clinica Medica San Miguel,PROSP
"Clinical Specialties, Inc",CSI01
"Clinical Specialties, Inc",CSI01
Clinicas del Camino Real,CDCR1
Clinicas del Camino Real,CDCR1
Clinicas del Camino Real,CDCR1
Clover Health (formerly CarePoint Health Plan),13285
Clover Health (formerly CarePoint Health Plan),13285
Clover Health (formerly CarePoint Health Plan),13285
Clover Health LLC,CLOVER
CM Providers Medical Group PC,CMPMG
CMFG Life Insurance,CMFGLI
CNA Insurance,20443
CNA Insurance (Auto only),C1035
CNS Healthcare,CNSOR
CNS Healthcare,CNSOR
Co-ordinated Benefit Plans LLC,14829
Co-ordinated Benefit Plans LLC,14829
Co-ordinated Benefit Plans LLC,14829
Coach USA,J1272
Coachella Valley Water District (CA) - CORVEL,J1902
CoachellaMed ,COMG1
CoachellaMed ,COMG1
CoachellaMed ,COMG1
Coastal Administrative Services,77052
Coastal Administrative Services,77052
Coastal Administrative Services,77052
Coastal Care Services,47394
Coastal Care Services,47394
Coastal Care Services,47394
Coastal Communities Physician Network (CCPN) (Regal),CCPN1
Coastal Communities Physician Network (CCPN) (Regal),CCPN1
Coastal Communities Physician Network (CCPN) (Regal),CCPN1
Coastal TPA,77052
Coastal TPA,77052
Coastal TPA,77052
"Coca-Cola Enterprises, Inc. ",J1038
"Cochran Canon Management Service, Inc. (CCMSI)",J1010
"Coeur Plan Services, LLC",11854
"Coeur Plan Services, LLC",11854
Collective Health,COLLECTIVE
Colonial Medical,22284
Colonial Medical,22284
Colonial Penn,37077
Colonial Penn,37077
Colonial Penn,37077
Colonial Penn Life,COLONIAL-PENN
Colorado Access,11350
Colorado Access,11350
Colorado Access,COACC
Colorado Access,COACC
Colorado Behavioral Healthcare Inc,COBHI
Colorado Casualty ,J1428
Colorado Community Health Alliance,COCHA
Colorado Community Health Alliance,COCHA
Colorado Community Health Alliance,COCHA
Colorado Community Health Alliance,COCHA
Colorado Community Health Alliance,COCHA
Colorado Health Insurance Cooperative Inc.,49718
Colorado Health Insurance Cooperative Inc.,49718
Colorado Kaiser Permanente,91617
Colorado Kaiser Permanente,91617
Colorado Kaiser Permanente,91617
Columbia Mutual Insurance Company,J2091
Columbia Sussex Corporation ,J1039
Columbine Health Plan,CHP02
Combined Insurance Company,AM-INS-COMB
CoMed - CIGNA,62308
CoMed - CIGNA,62308
CoMed - CIGNA,62308
Commerce & Industry/Greenwood,J3877
Common Ground Healthcare,77170
Common Ground Healthcare,77170
Common Ground Healthcare,77170
Common Ground Healthcare Cooperative,COMMON
Common Ground Healthcare Cooperative,COMMON
Commonwealth Care Alliance ,SCNCA
"Commonwealth Care Alliance - Medicare Advantage	",14316
"Commonwealth Care Alliance - Medicare Advantage	",14316
Commonwealth Care Alliance (CCA),CCA
"Commonwealth Care Alliance (CCA)	",A2793
"Commonwealth Care Alliance (CCA)	",A2793
"Commonwealth Care Alliance (CCA)	",A2793
Commonwealth of Massachusetts GIC,WLPNT
Commonwealth of Massachusetts GIC,WLPNT
Commonwealth of Massachusetts GIC,WLPNT
CommuniCare Advantage,34525
CommuniCare Advantage,34525
Community Alliance Medical Group - Guidant,CAMG1
Community Alliance Medical Group - Guidant,CAMG1
Community Care Alliance of IL,85468
Community Care Alliance of IL,85468
Community Care Alliance of Illinois,CCAIL
Community Care Associates,17902
Community Care BHO,23282
Community Care BHO,23282
Community Care BHO,23282
Community Care Health,CCH25
Community Care Health,CCH25
Community Care Inc. - Family Care (Wisconsin),60995
Community Care Inc. - Family Care (Wisconsin),60995
Community Care Inc. - Family Care (Wisconsin),60995
Community Care Inc. (Wisconsin),39126
Community Care Inc. (Wisconsin),39126
Community Care Inc. (Wisconsin),39126
Community Care IPA,MPM48
Community Care IPA,MPM48
Community Care Managed Health Care Plans of Oklahoma,73143
Community Care Managed Health Care Plans of Oklahoma,73143
Community Care Managed Health Care Plans of Oklahoma,73143
Community Care Plan (Broward Health PPUC),BHPP1
Community Care Plan (Commercial),59064
Community Care Plan (Commercial),59064
Community Care Plan (Commercial),59064
Community Care Plan (Florida Healthy Kids),FHKC1
Community Care Plan (Florida Healthy Kids),FHKC1
Community Care Plan (Medicaid),59065
Community Care Plan (Medicaid),59065
Community Care Plan (Medicaid),59065
Community Care Plan (Palm Beach District),PBHD1
Community Care Plan (Palm Beach District),PBHD1
Community Development Commission (CA) - CORVEL,J1655
Community Family Care Health Plan,CFCHP
Community Family Care Health Plan,CFCHP
Community Family Care Health Plan,CFCHP
Community First,COMMF
Community First,COMMF
Community First,COMMF
Community Health Alliance,35193
Community Health Alliance,35193
Community Health Alliance,35193
Community Health Alliance of Tennessee,27905
Community Health Alliance of Tennessee,27905
Community Health Alliance of Tennessee,27905
Community Health Center Network - CHCN,CHCN1
Community Health Center Network - CHCN,CHCN1
Community Health Choice,48145
Community Health Choice,48145
Community Health Choice,48145
Community Health Choice,48145
Community Health Choice - Health Insurance Marketplace,60495
Community Health Choice - Health Insurance Marketplace,60495
Community Health Choice - Health Insurance Marketplace,CHC-HIM
Community Health First Medicare Advantage,CHF-MA
Community Health Group of San Diego,66170
Community Health Group of San Diego,66170
Community Health Group of SD (CHGSD) - Capitated Claims,66171
Community Health Group of SD (CHGSD) - Capitated Claims,66171
Community Health Group of SD (CHGSD) - Capitated Claims,66171
Community Health Group of SD (CHGSD) - FFS Claims,66170
Community Health Group of SD (CHGSD) - FFS Claims,66170
Community Health Group of SD (CHGSD) - FFS Claims,66170
Community Health Plan of Washington,CHPWA
Community Health Plan of Washington (CHP of WA),CHPWA
Community Health Plan of Washington (CHP of WA),CHPWA
Community Health Plan of Washington (CHP of WA),CHPWA
Community Life,23283
Community Medical Centers (CA) - CORVEL,J3743
Community Medical Group of the West Valley (Regal),LMG01
Community Medical Group of the West Valley (Regal),LMG01
Community Preferred Healthcare (AHN - TPHS),IHS28
Community Preferred Healthcare (AHN - TPHS),IHS28
Community Transit (WA only) - CORVEL,J3956
CommunityCare Oklahoma (CCOK),73143
CommunityCare Oklahoma (CCOK),73143
CommunityCare Oklahoma (CCOK),73143
CommunityCare Oklahoma (CCOK),CCOOK
Companion Property and Casualty Insurance Company,J1829
"Compass Group USA, Inc. ",J1040
CompDent / CompBenefits,CX021
Complementary Healthcare Plan (CHP),CHP01
Complementary Healthcare Plan (CHP),CHP01
Complete Care IPA,PCMSO
Complete Care IPA,PCMSO
Complimentary Healthcare Plans,CHP01
Complimentary Healthcare Plans,CHP01
Comprehensive Care Management,13360
Comprehensive Care Management,13360
Comprehensive Care Services,00720
Comprehensive Care Services,00720
ComPsych,37363
ComPsych,37363
ComPsych,37363
CompuSys Inc,74234
Concentrix Insurance Solutions,CONCENTRIX
Concierge HMO IPA,CHHMO
Concierge HMO IPA,CHHMO
Concierge HMO IPA,CHHMO
Concierge TPA,CAS01
Concierge TPA,CAS01
"Concordia Care, Inc",33632
"Concordia Care, Inc",33632
Confederation Administration Services & Life Insurance,62308
Confederation Administration Services & Life Insurance,62308
Confederation Administration Services & Life Insurance,62308
Conifer (Workers Comp),J1774
Conifer Health Solutions,CAPMN
Conifer Health Solutions,CAPMN
Conifer Health Solutions,CAPMN
Connecticare,10164
Connecticare - Medicare Advantage (Emblem),78375
Connecticare - Medicare Advantage (Emblem),78375
Connecticare - Medicare Advantage (Emblem),78375
Connecticare (Commercial),06105
Connecticare (Commercial),06105
Connecticare (Commercial),06105
Connecticare Medicare,CONNECTICARE-MCR
Connecticut Carpenters Health Fund,37307
Connecticut General,62308
Connecticut General,62308
Connecticut General,62308
Connecticut General,62308
Connecticut General Life,06105
Connecticut Indemnity Company,J3965
Consociate Group,37135
Consociate Group,37135
Consociate Group,37135
Consolidated Associates Railroad,75284
Consolidated Associates Railroad,75284
Consolidated Associates Railroad,CONSOL-RAIL
Consolidated Health Plans,87843
Consolidated Health Plans,87843
Consolidated Health Plans,87843
Consumer Mutual of Michigan,CONMU-MI
Consumers Choice Health SC,45321
Consumers Choice Health SC,45321
Consumers Choice Health SC,45321
Consumers Life Insurance Company,CLIC-MMO
Container Graphics Corporation,08680
Container Graphics Corporation,08680
Contech Construction Products,J1041
Contessa Health - Security Health Plan,CH101
Contessa Health - Security Health Plan,CH101
Contessa Health - Security Health Plan,CH101
Continental Airlines ,J1042
Continental Benefits,35245
Continental Benefits,35245
Continental Benefits,35245
Continental Benefits,MARPAI-CB
Continental General Insurance Company,71404
Continental General Insurance Company,71404
Continental General Insurance Company,71404
Contra Costa Behavioral Health Plan,CCMHP
Contra Costa Behavioral Health Plan,CCMHP
Contra Costa Health Plan,CCHPL
Contra Costa Health Plan,CCHPL
Contra Costa Health Plan,CCHPL
Contra Costa Health Plan,CONTRA
Convergys Corporation ,J1043
Cook Childrens Health Plan,CCHP1
Cook Childrens Health Plan,CCHP1
Cook Childrens Health Plan,CCHP1
Cook Childrens Health Plan,COOK-CHILD
Cook Childrens Star Plan,CCHP9
Cook Childrens Star Plan,CCHP9
Cook Childrens Star Plan,CCHP9
Cook Group Health Plan,35149
Cook Group Health Plan,35149
Cook Group Health Plan,CGHP
Cook Group Solutions,82347
Cook Group Solutions,82347
Cook Medical Group,60065
Cook Medical Group,60065
Cook Medical Group,COOK
Cooperative Benefit Administrators (CBA),00223
Cooperative Benefit Administrators (CBA),10170
Coordinated Care (Centene),68069
Coordinated Care (Centene),68069
Coordinated Care (Centene),68069
Coordinated Care (Centene),COORDINATED-CARE
Coordinated Care (Centene),COORDINATED-CARE
Coordinated Medical Specialists,58204
Coordinated Medical Specialists,58204
Copperpoint Insurance - CORVEL,J4123
Copperpoint Mutual Insurance Company,J2093
Core Administrative Services,58231
Core Administrative Services,58231
"Core Benefits / Multimatic Tennesse, LLC",47165
"Core Benefits / Multimatic Tennesse, LLC",47165
"Core Benefits / Multimatic Tennesse, LLC",47165
Core Management Resources Group,58231
Core Management Resources Group,58231
CoreCivic,55962
CoreCivic,55962
CoreFive (Mega Life & Health),60601
CoreFive (SelectCare),DX215
CoreSource - Detroit,CORE-DETROIT
CoreSource - Little Rock,00205
CoreSource - Little Rock,10172
CoreSource - OH,00239
CoreSource - OH,10175
"CoreSource (MD, PA, IL, IA)",10174
"CoreSource (MD, PA, IL, IA)",CRSMD
"CoreSource (NC, IN)",CORE-NCIN
CoreSource KC (FMH),CORE-FMH
Corizon Inc (Formerly Correctional Medical Services),43160
Corizon Inc (Formerly Correctional Medical Services),43160
Cornerstone Benefit Administrators,35202
Cornerstone Benefit Administrators,35202
Cornerstone Benefit Administrators,35202
Cornerstone Preferred Resources,CB268
Cornerstone Preferred Resources,CB268
